GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo,data.entities,User,21,3,0,0,9,2,6,1,6,1
demo,controller,UserController,10,3,0,0,2,1,2,1,2,1
demo,data.dtos,UserDTO,17,0,0,0,8,0,5,0,5,0
demo,business,UserService,46,3,4,0,8,1,4,1,2,1
demo,business.custom_exceptions,ExceptionResponse,24,0,0,0,10,0,5,0,5,0
demo,business.custom_exceptions,TooLongException,4,0,0,0,2,0,1,0,1,0
demo,business.custom_exceptions,GlobalExceptionResponseCustomization,16,3,0,0,2,1,1,1,1,1
demo,business.custom_exceptions,CustomNotFoundException,4,0,0,0,2,0,1,0,1,0
demo,cs.software.demo,ServletInitializer,12,0,0,0,2,0,2,0,2,0
demo,cs.software.demo,DemoApplication,5,3,0,0,2,1,1,1,1,1
